,count,mean,std,min,25%,50%,75%,max
Barco_total,100.0,7.69,0.5064233865696237,6.0,7.0,8.0,8.0,8.0
Barco_ejercicios,100.0,2.19,0.614554121031474,0.0,2.0,2.0,3.0,3.0
Barco_memes,100.0,1.95,0.2190429135575904,1.0,2.0,2.0,2.0,2.0
Barco_ferias,100.0,0.21,0.40936018074033237,0.0,0.0,0.0,0.0,1.0
Barco_creditos,100.0,466.47,70.23948283903398,326.0,414.5,469.5,519.5,670.0
Media_total,100.0,10.84,0.39491720139745246,9.0,11.0,11.0,11.0,11.0
Media_ejercicios,100.0,2.8,0.5504818825631803,1.0,3.0,3.0,3.0,3.0
Media_memes,100.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
Media_ferias,100.0,1.55,0.7299508769967216,0.0,1.0,2.0,2.0,3.0
Media_creditos,100.0,656.63,82.28794663628544,456.0,598.25,651.5,717.25,940.0
Brillante_total,100.0,14.91,0.2876234912646614,14.0,15.0,15.0,15.0,15.0
Brillante_ejercicios,100.0,2.96,0.1969463855669324,2.0,3.0,3.0,3.0,3.0
Brillante_memes,100.0,1.98,0.14070529413628968,1.0,2.0,2.0,2.0,2.0
Brillante_ferias,100.0,3.8,0.7106690545187014,3.0,3.0,4.0,4.0,5.0
Brillante_creditos,100.0,836.17,109.70834199380784,566.0,767.75,830.5,921.0,1214.0
